date,funder,person,spend,impact,url
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=3022302074721213&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=144383621004959&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=224955636135585&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=508449167045998&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=515420356343001&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=781394075902444&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=850710545572211&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=968797963871813&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=763326080994904&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=417357769785838&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=760475031287204&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=325389615872931&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=551563502691516&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=839835173309713&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=538013777239515&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=969537087217294&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=884217798970374&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=1617134241815316&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=2835362916676461&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=333600164900775&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=392004148884217&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=3009740249258025&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=3604899952948203&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-24,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=133543092214720&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=326651808939561&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=340738534433749&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=786445418898981&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=999466454196110&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=1079305949261516&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=1386602325046267&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
2021-06-23,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '0', 'upper_bound': '999'}",https://www.facebook.com/ads/archive/render_ad/?id=512326229968277&access_token=EAAHdzu1fCTsBADStlTFMvD8qGq7jmqQSOkFWB91utWNN17IZA52ZC8bo8L6ALLQqEkPZCfIj5jYkrhZBFUmXQE9ynKZBHtvksgPd7lDjF0LaZBr5zkhhjf8CP0ckq3RHHSgkd9mu0VdOvM8dhgHqRA2lo6yedBxcZBcLK3ZBmC3fUavkJIxv6BVtsJqOL43PmZC1cyiTbuakH5s7R87eQZBX6lKNPS2JpoqcoZD
