Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
20201209,S92000003,Female,,18 - 29,,413185,,Dose 1,,428,,0.103585561,,594,,0.143761269,
20201209,S92000003,Female,,18 - 29,,413185,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,30 - 39,,370019,,Dose 1,,558,,0.150803067,,852,,0.230258446,
20201209,S92000003,Female,,30 - 39,,370019,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,40 - 49,,345328,,Dose 1,,714,,0.20675995,,1100,,0.318537738,
20201209,S92000003,Female,,40 - 49,,345328,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,50 - 54,,203758,,Dose 1,,433,,0.212506994,,658,,0.322932106,
20201209,S92000003,Female,,50 - 54,,203758,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,55 - 59,,205996,,Dose 1,,456,,0.221363522,,725,,0.351948582,
20201209,S92000003,Female,,55 - 59,,205996,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,60 - 64,,181868,,Dose 1,,275,,0.151208569,,404,,0.222139134,
20201209,S92000003,Female,,60 - 64,,181868,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,65 - 69,,155904,,Dose 1,,59,,0.037843801,,86,,0.055162151,
20201209,S92000003,Female,,65 - 69,,155904,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,70 - 74,,149920,,Dose 1,,15,,0.010005336,,20,,0.013340448,
20201209,S92000003,Female,,70 - 74,,149920,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,75 - 79,,109004,,Dose 1,,5,,0.004586988,,5,,0.004586988,
20201209,S92000003,Female,,75 - 79,,109004,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Female,,80 years and over,d,165451,,Dose 1,,1,,0.000604409,,3,,0.001813226,
20201209,S92000003,Female,,80 years and over,d,165451,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,16 - 17,,56560,,Dose 1,,0,,0,,1,,0.001768034,
20201209,S92000003,Male,,16 - 17,,56560,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,18 - 29,,420762,,Dose 1,,110,,0.026143045,,145,,0.034461287,
20201209,S92000003,Male,,18 - 29,,420762,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,30 - 39,,359716,,Dose 1,,188,,0.052263452,,273,,0.075893205,
20201209,S92000003,Male,,30 - 39,,359716,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,40 - 49,,328962,,Dose 1,,247,,0.07508466,,360,,0.109435132,
20201209,S92000003,Male,,40 - 49,,328962,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,50 - 54,,189355,,Dose 1,,126,,0.066541681,,191,,0.100868739,
20201209,S92000003,Male,,50 - 54,,189355,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,55 - 59,,193348,,Dose 1,,113,,0.058443842,,164,,0.084821151,
20201209,S92000003,Male,,55 - 59,,193348,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,60 - 64,,170701,,Dose 1,,81,,0.047451392,,119,,0.069712538,
20201209,S92000003,Male,,60 - 64,,170701,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,65 - 69,,144529,,Dose 1,,28,,0.019373275,,39,,0.026984204,
20201209,S92000003,Male,,65 - 69,,144529,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,70 - 74,,135910,,Dose 1,,6,,0.004414686,,9,,0.006622029,
20201209,S92000003,Male,,70 - 74,,135910,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,75 - 79,,89206,,Dose 1,,1,,0.001121001,,1,,0.001121001,
20201209,S92000003,Male,,75 - 79,,89206,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Male,,80 years and over,d,106156,,Dose 1,,1,,0.00094201,,3,,0.00282603,
20201209,S92000003,Male,,80 years and over,d,106156,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,16 - 17,,110139,,Dose 1,,0,,0,,1,,0.000907944,
20201209,S92000003,Total,d,16 - 17,,110139,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,18 - 29,,833947,,Dose 1,,538,,0.064512493,,739,,0.088614744,
20201209,S92000003,Total,d,18 - 29,,833947,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,18 years and over,d,4439078,,Dose 1,,3845,,0.086617086,,5751,,0.12955393,
20201209,S92000003,Total,d,18 years and over,d,4439078,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,30 - 39,,729735,,Dose 1,,746,,0.102228891,,1125,,0.154165553,
20201209,S92000003,Total,d,30 - 39,,729735,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,40 - 49,,674290,,Dose 1,,961,,0.142520281,,1460,,0.216524048,
20201209,S92000003,Total,d,40 - 49,,674290,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,40 years and over,d,2875396,,Dose 1,,2561,,0.089065993,,3887,,0.13518138,
20201209,S92000003,Total,d,40 years and over,d,2875396,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,50 - 54,,393113,,Dose 1,,559,,0.142198299,,849,,0.215968437,
20201209,S92000003,Total,d,50 - 54,,393113,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,55 - 59,,399344,,Dose 1,,569,,0.142483673,,889,,0.222615089,
20201209,S92000003,Total,d,55 - 59,,399344,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,60 - 64,,352569,,Dose 1,,356,,0.100973143,,523,,0.148339758,
20201209,S92000003,Total,d,60 - 64,,352569,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,65 - 69,,300433,,Dose 1,,87,,0.028958204,,125,,0.041606614,
20201209,S92000003,Total,d,65 - 69,,300433,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,70 - 74,,285830,,Dose 1,,21,,0.007347024,,29,,0.010145891,
20201209,S92000003,Total,d,70 - 74,,285830,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,75 - 79,,198210,,Dose 1,,6,,0.003027092,,6,,0.003027092,
20201209,S92000003,Total,d,75 - 79,,198210,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,80 years and over,d,271607,,Dose 1,,2,,0.000736358,,6,,0.002209074,
20201209,S92000003,Total,d,80 years and over,d,271607,,Dose 2,,0,,0,,0,,0,
20201209,S92000003,Total,d,All vaccinations,d,,,Dose 1,,3845,,,z,5752,,,z
20201209,S92000003,Total,d,All vaccinations,d,,,Dose 2,,0,,,z,0,,,z
20201210,S92000003,Female,,16 - 17,,53579,,Dose 1,,0,,0,,0,,0,
20201210,S92000003,Female,,16 - 17,,53579,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,18 - 29,,413185,,Dose 1,,571,,0.138194755,,1165,,0.281956025,
20201210,S92000003,Female,,18 - 29,,413185,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,30 - 39,,370019,,Dose 1,,731,,0.197557423,,1583,,0.427815869,
20201210,S92000003,Female,,30 - 39,,370019,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,40 - 49,,345328,,Dose 1,,869,,0.251644813,,1969,,0.570182551,
20201210,S92000003,Female,,40 - 49,,345328,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,50 - 54,,203758,,Dose 1,,606,,0.297411635,,1264,,0.620343741,
20201210,S92000003,Female,,50 - 54,,203758,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,55 - 59,,205996,,Dose 1,,622,,0.301947611,,1347,,0.653896192,
20201210,S92000003,Female,,55 - 59,,205996,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,60 - 64,,181868,,Dose 1,,359,,0.197395914,,763,,0.419535047,
20201210,S92000003,Female,,60 - 64,,181868,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,65 - 69,,155904,,Dose 1,,101,,0.064783456,,187,,0.119945608,
20201210,S92000003,Female,,65 - 69,,155904,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,70 - 74,,149920,,Dose 1,,22,,0.014674493,,42,,0.028014941,
20201210,S92000003,Female,,70 - 74,,149920,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,75 - 79,,109004,,Dose 1,,6,,0.005504385,,11,,0.010091373,
20201210,S92000003,Female,,75 - 79,,109004,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Female,,80 years and over,d,165451,,Dose 1,,1,,0.000604409,,4,,0.002417634,
20201210,S92000003,Female,,80 years and over,d,165451,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,16 - 17,,56560,,Dose 1,,0,,0,,1,,0.001768034,
20201210,S92000003,Male,,16 - 17,,56560,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,18 - 29,,420762,,Dose 1,,143,,0.033985959,,288,,0.068447246,
20201210,S92000003,Male,,18 - 29,,420762,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,30 - 39,,359716,,Dose 1,,237,,0.06588531,,510,,0.141778514,
20201210,S92000003,Male,,30 - 39,,359716,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,40 - 49,,328962,,Dose 1,,240,,0.072956755,,600,,0.182391887,
20201210,S92000003,Male,,40 - 49,,328962,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,50 - 54,,189355,,Dose 1,,151,,0.079744395,,342,,0.180613134,
20201210,S92000003,Male,,50 - 54,,189355,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,55 - 59,,193348,,Dose 1,,149,,0.077063119,,313,,0.161884271,
20201210,S92000003,Male,,55 - 59,,193348,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,60 - 64,,170701,,Dose 1,,93,,0.054481227,,212,,0.124193766,
20201210,S92000003,Male,,60 - 64,,170701,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,65 - 69,,144529,,Dose 1,,28,,0.019373275,,67,,0.046357478,
20201210,S92000003,Male,,65 - 69,,144529,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,70 - 74,,135910,,Dose 1,,8,,0.005886248,,17,,0.012508278,
20201210,S92000003,Male,,70 - 74,,135910,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,75 - 79,,89206,,Dose 1,,4,,0.004484003,,5,,0.005605004,
20201210,S92000003,Male,,75 - 79,,89206,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Male,,80 years and over,d,106156,,Dose 1,,1,,0.00094201,,4,,0.003768039,
20201210,S92000003,Male,,80 years and over,d,106156,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,16 - 17,,110139,,Dose 1,,0,,0,,1,,0.000907944,
20201210,S92000003,Total,d,16 - 17,,110139,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,18 - 29,,833947,,Dose 1,,714,,0.085616952,,1453,,0.174231696,
20201210,S92000003,Total,d,18 - 29,,833947,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,18 years and over,d,4439078,,Dose 1,,4942,,0.111329425,,10693,,0.240883355,
20201210,S92000003,Total,d,18 years and over,d,4439078,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,30 - 39,,729735,,Dose 1,,968,,0.132650894,,2093,,0.286816447,
20201210,S92000003,Total,d,30 - 39,,729735,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,40 - 49,,674290,,Dose 1,,1109,,0.164469294,,2569,,0.380993341,
20201210,S92000003,Total,d,40 - 49,,674290,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,40 years and over,d,2875396,,Dose 1,,3260,,0.113375688,,7147,,0.248557068,
20201210,S92000003,Total,d,40 years and over,d,2875396,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,50 - 54,,393113,,Dose 1,,757,,0.192565496,,1606,,0.408533933,
20201210,S92000003,Total,d,50 - 54,,393113,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,55 - 59,,399344,,Dose 1,,771,,0.193066629,,1660,,0.415681718,
20201210,S92000003,Total,d,55 - 59,,399344,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,60 - 64,,352569,,Dose 1,,452,,0.128201856,,975,,0.276541613,
20201210,S92000003,Total,d,60 - 64,,352569,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,65 - 69,,300433,,Dose 1,,129,,0.042938026,,254,,0.084544641,
20201210,S92000003,Total,d,65 - 69,,300433,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,70 - 74,,285830,,Dose 1,,30,,0.010495749,,59,,0.02064164,
20201210,S92000003,Total,d,70 - 74,,285830,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,75 - 79,,198210,,Dose 1,,10,,0.005045154,,16,,0.008072247,
20201210,S92000003,Total,d,75 - 79,,198210,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,80 years and over,d,271607,,Dose 1,,2,,0.000736358,,8,,0.002945432,
20201210,S92000003,Total,d,80 years and over,d,271607,,Dose 2,,0,,0,,0,,0,
20201210,S92000003,Total,d,All vaccinations,d,,,Dose 1,,4943,,,z,10695,,,z
20201210,S92000003,Total,d,All vaccinations,d,,,Dose 2,,0,,,z,0,,,z
20201211,S92000003,Female,,16 - 17,,53579,,Dose 1,,2,,0.003732806,,2,,0.003732806,
20201211,S92000003,Female,,16 - 17,,53579,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Female,,18 - 29,,413185,,Dose 1,,613,,0.148359694,,1778,,0.430315718,
20201211,S92000003,Female,,18 - 29,,413185,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Female,,30 - 39,,370019,,Dose 1,,771,,0.208367678,,2354,,0.636183547,
20201211,S92000003,Female,,30 - 39,,370019,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Female,,40 - 49,,345328,,Dose 1,,914,,0.264675902,,2883,,0.834858453,
20201211,S92000003,Female,,40 - 49,,345328,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Female,,50 - 54,,203758,,Dose 1,,602,,0.295448522,,1866,,0.915792263,
20201211,S92000003,Female,,50 - 54,,203758,,Dose 2,,1,,0.000490778,,1,,0.000490778,
20201211,S92000003,Female,,55 - 59,,205996,,Dose 1,,642,,0.311656537,,1989,,0.965552729,
20201211,S92000003,Female,,55 - 59,,205996,,Dose 2,,1,,0.000485446,,1,,0.000485446,
20201211,S92000003,Female,,60 - 64,,181868,,Dose 1,,428,,0.235335518,,1191,,0.654870565,
20201211,S92000003,Female,,60 - 64,,181868,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Female,,65 - 69,,155904,,Dose 1,,113,,0.072480501,,300,,0.192426108,
20201211,S92000003,Female,,65 - 69,,155904,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Female,,70 - 74,,149920,,Dose 1,,18,,0.012006403,,60,,0.040021345,
20201211,S92000003,Female,,70 - 74,,149920,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Female,,75 - 79,,109004,,Dose 1,,7,,0.006421783,,18,,0.016513155,
20201211,S92000003,Female,,75 - 79,,109004,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Female,,80 years and over,d,165451,,Dose 1,,1,,0.000604409,,5,,0.003022043,
20201211,S92000003,Female,,80 years and over,d,165451,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,16 - 17,,56560,,Dose 1,,0,,0,,1,,0.001768034,
20201211,S92000003,Male,,16 - 17,,56560,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,18 - 29,,420762,,Dose 1,,167,,0.039689896,,455,,0.108137142,
20201211,S92000003,Male,,18 - 29,,420762,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,30 - 39,,359716,,Dose 1,,252,,0.070055266,,762,,0.21183378,
20201211,S92000003,Male,,30 - 39,,359716,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,40 - 49,,328962,,Dose 1,,259,,0.078732498,,859,,0.261124385,
20201211,S92000003,Male,,40 - 49,,328962,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,50 - 54,,189355,,Dose 1,,165,,0.087137916,,507,,0.26775105,
20201211,S92000003,Male,,50 - 54,,189355,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,55 - 59,,193348,,Dose 1,,178,,0.092061982,,491,,0.253946252,
20201211,S92000003,Male,,55 - 59,,193348,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,60 - 64,,170701,,Dose 1,,101,,0.059167785,,313,,0.18336155,
20201211,S92000003,Male,,60 - 64,,170701,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,65 - 69,,144529,,Dose 1,,27,,0.018681372,,94,,0.06503885,
20201211,S92000003,Male,,65 - 69,,144529,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,70 - 74,,135910,,Dose 1,,10,,0.00735781,,27,,0.019866088,
20201211,S92000003,Male,,70 - 74,,135910,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,75 - 79,,89206,,Dose 1,,1,,0.001121001,,6,,0.006726005,
20201211,S92000003,Male,,75 - 79,,89206,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Male,,80 years and over,d,106156,,Dose 1,,1,,0.00094201,,5,,0.004710049,
20201211,S92000003,Male,,80 years and over,d,106156,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,16 - 17,,110139,,Dose 1,,2,,0.001815887,,3,,0.002723831,
20201211,S92000003,Total,d,16 - 17,,110139,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,18 - 29,,833947,,Dose 1,,780,,0.093531124,,2233,,0.267762819,
20201211,S92000003,Total,d,18 - 29,,833947,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,18 years and over,d,4439078,,Dose 1,,5270,,0.118718346,,15963,,0.359601701,
20201211,S92000003,Total,d,18 years and over,d,4439078,,Dose 2,,2,,4.51E-05,,2,,4.51E-05,
20201211,S92000003,Total,d,30 - 39,,729735,,Dose 1,,1023,,0.140187876,,3116,,0.427004323,
20201211,S92000003,Total,d,30 - 39,,729735,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,40 - 49,,674290,,Dose 1,,1173,,0.173960759,,3742,,0.5549541,
20201211,S92000003,Total,d,40 - 49,,674290,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,40 years and over,d,2875396,,Dose 1,,3467,,0.120574696,,10614,,0.369131765,
20201211,S92000003,Total,d,40 years and over,d,2875396,,Dose 2,,2,,6.96E-05,,2,,6.96E-05,
20201211,S92000003,Total,d,50 - 54,,393113,,Dose 1,,767,,0.195109294,,2373,,0.603643227,
20201211,S92000003,Total,d,50 - 54,,393113,,Dose 2,,1,,0.00025438,,1,,0.00025438,
20201211,S92000003,Total,d,55 - 59,,399344,,Dose 1,,820,,0.205336752,,2480,,0.62101847,
20201211,S92000003,Total,d,55 - 59,,399344,,Dose 2,,1,,0.000250411,,1,,0.000250411,
20201211,S92000003,Total,d,60 - 64,,352569,,Dose 1,,529,,0.150041552,,1504,,0.426583165,
20201211,S92000003,Total,d,60 - 64,,352569,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,65 - 69,,300433,,Dose 1,,140,,0.046599408,,394,,0.131144049,
20201211,S92000003,Total,d,65 - 69,,300433,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,70 - 74,,285830,,Dose 1,,28,,0.009796033,,87,,0.030437673,
20201211,S92000003,Total,d,70 - 74,,285830,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,75 - 79,,198210,,Dose 1,,8,,0.004036123,,24,,0.01210837,
20201211,S92000003,Total,d,75 - 79,,198210,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,80 years and over,d,271607,,Dose 1,,2,,0.000736358,,10,,0.00368179,
20201211,S92000003,Total,d,80 years and over,d,271607,,Dose 2,,0,,0,,0,,0,
20201211,S92000003,Total,d,All vaccinations,d,,,Dose 1,,5272,,,z,15967,,,z
